Country,City,Line,Phase,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform Length (Meters),Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Inflation Index,Real cost (2025 dollars),Cost/km (2025 dollars),Source2,Reference,,,,
IT,Rome,Line C,Line C - section T3,2013,2023,0,2.7,100.00%,2.7,0,0,2,110,Plan,861,EUR,2018,1.3,1119.3,414.6,1.275269108,"1,427.4",528.7,Plan,https://metrocspa.it/cms/wp-content/uploads/2016/12/2-Q.E.G.-12-set-2013.pdf,,,,
DE,Berlin,U55,U55,2004,2009,0,1.8,100.00%,1.8,0,0,3,100,Plan,320,EUR,2006,1.3,416,231.1,1.5884375,660.8,367.1,Plan,https://www.das-parlament.de/2019/31_32/kehrseite/652908-652908,,,,
DE,Berlin,U5-U55 connection,U5-U55 connection,2010,2020,0,2.2,100.00%,2.2,0,0,3,100,Plan,525,EUR,2015,1.3,682.5,310.2,1.351080302,922.1,419.1,Plan,https://www.projekt-u5.de/de/die-neue-u5/,,,,
BE,Brussels,Line 3,Line 3,2020,2028,0,4.8,100.00%,4.8,0,0,7,,Plan,"2,600",EUR,2024,1.3,3380,704.2,1.020848675,"3,450.5",718.8,Plan,https://www.thebulletin.be/brussels-metro-line-3-project-could-be-delayed-or-suspended,,,,
DK,Copenhagen,City Circle Line,City Circle Line,2009,2019,0,15.5,100.00%,15.5,0,0,17,,Media,"25,300",DKK,2014,0.138,3491.4,225.3,1.352684002,"4,722.8",304.7,Media,https://www.thelocal.dk/20190930/in-pictures-copenhagens-new-city-ring-metro-line,,,,
NO,Oslo,Løren Line,Løren Line,2013,2016,0,1.6,100.00%,1.6,0,0,1,,Trade,"1,330",NOK,2014,0.107,142.31,88.9,1.352684002,192.5,120.3,Trade,https://www.railwaygazette.com/l%C3%B8renbanen-opens-in-oslo/42312.article,,,,
NO,Oslo,Fornebu Line,Fornebu Line,2020,2029,0,8.2,100.00%,8.2,0,0,6,,Plan,"26,400",NOK,2021,0.103,2719.2,331.6,1.181787652,"3,213.5",391.9,Media,https://www.nrk.no/osloogviken/fornebubanen-er-vedtatt-i-oslo-bystyre-1.16010843,,,,
AU,Sydney,Metro City & SW,Metro City & SW,2017,2024,0,30,51.00%,15.3,0,0,7,,Wiki,"15,500",AUD,2021,0.69,10695,356.5,1.181787652,"12,639.2",421.3,Media,https://www.abc.net.au/news/2020-02-21/nsw-government-confirms-three-billion-metro-budget-blowout/11986968,,,,
AU,Sydney,Metro NW,Metro NW,2013,2019,0,36,42.00%,15.1,0,0,13,,Wiki,"7,800",AUD,2016,0.69,5382,149.5,1.334248584,"7,180.9",199.5,Plan,https://www.transport.nsw.gov.au/news-and-events/media-releases/sydney-metro-northwest-under-budget,,,,
AU,Melbourne,Metro Tunnel,Metro Tunnel,2018,2025,0,9,100.00%,9,0,0,5,,Plan,"12,584",AUD,2021,0.69,8683.236,964.8,1.181787652,"10,261.7","1,140.2",Plan,https://www.audit.vic.gov.au/report/melbourne-metro-tunnel-project-phase-2-main-works?section=,,,,
SG,Singapore,Downtown MRT Line,Downtown MRT Line,2008,2017,0,41.9,100.00%,41.9,0,0,34,,Wiki,"21,000",SGD,2012,1.18,24780,591.4,1.394762058,"34,562.2",824.9,Plan,https://www.todayonline.com/singapore/comparing-singapores-newest-and-oldest-mrt-lines,,,,
SG,Singapore,Thomson MRT Line,Thomson MRT Line,2014,2024,0,43,100.00%,43,0,0,32,,Media,"25,000",SGD,2019,1.13,28250,657.0,1.252572783,"35,385.2",822.9,Media,https://www.straitstimes.com/singapore/transport/thomson-east-coast-line-6-more-stations-from-springleaf-to-caldecott-opening,,,,
CA,Toronto,Eglinton Crosstown,Eglinton Crosstown,2011,2022,0,19,53.00%,10,0.62,8.31,25,,Plan,"5,300",CAD,2016,0.83,4399,231.5,1.334248584,"5,869.4",308.9,Trade,https://www.railwayage.com/news/eglinton-crosstown-behind-schedule/,,,,
IN,Mumbai,Monorail,Monorail,2009,2019,0,20.2,0.00%,0,0,0,17,,Plan,"30,000",INR,2014,0.054,1620,80.2,1.352684002,"2,191.3",108.5,Media,https://indianexpress.com/article/cities/mumbai/indias-first-monorail-rolls-out-in-city/,,,,
